Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,horse.wav,I055.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,bear.wav,I021.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,tomato.wav,I236.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,leg.wav,I134.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,spoon.wav,I215.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cake.wav,I042.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,sock.wav,I113.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,bottle.wav,I032.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,mouse.wav,I149.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,strawberry.wav,I220.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,hat.wav,I118.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,snail.wav,I172.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,couch.wav,I241.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,fish.wav,I089.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,hair.wav,I039.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,spider.wav,I212.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,clock.wav,I060.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,shoe.wav,I128.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,crocodile.wav,I003.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,airplane.wav,I036.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,snake.wav,I209.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,clown.wav,I063.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,door.wav,I076.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,necklace.wav,I222.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,car.wav,I204.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,butterfly.wav,I121.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,monkey.wav,I145.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,dog.wav,I073.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,lion.wav,I140.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,bird.wav,I028.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,zebra.wav,I208.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,bread.wav,I022.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,sun.wav,I148.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,lemon.wav,I053.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,tree.wav,I211.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,hand.wav,I067.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,tiger.wav,I068.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,nose.wav,I155.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,belt.wav,I026.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,moon.wav,I016.png,ArrowLeft
