Fixation,First_Operand,Second_Operand,Solution,Correct_answer
Fixation_Point3.jpg,E3_450ms.wav,E8_450ms.wav,16,ArrowLeft
Fixation_Point3.jpg,E8_450ms.wav,E7_450ms.wav,63,ArrowLeft
Fixation_Point3.jpg,E4_450ms.wav,E7_450ms.wav,28,ArrowRight
Fixation_Point3.jpg,E6_450ms.wav,E7_450ms.wav,49,ArrowLeft
Fixation_Point3.jpg,E4_450ms.wav,E5_450ms.wav,20,ArrowRight
Fixation_Point3.jpg,E7_450ms.wav,E2_450ms.wav,16,ArrowLeft
Fixation_Point3.jpg,E4_450ms.wav,E6_450ms.wav,24,ArrowRight
Fixation_Point3.jpg,E8_450ms.wav,E7_450ms.wav,56,ArrowRight
Fixation_Point3.jpg,E8_450ms.wav,E2_450ms.wav,16,ArrowRight
Fixation_Point3.jpg,E2_450ms.wav,E9_450ms.wav,18,ArrowRight
