Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,calcetin.wav,I211.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,raton.wav,I149.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,tenedor.wav,I097.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,perro.wav,I073.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,conejo.wav,I208.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,platano.wav,I162.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,estrella.wav,I148.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,sombrero.wav,I118.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,paraguas.wav,I245.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,collar.wav,I153.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pollo.wav,I128.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,leon.wav,I260.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,mono.wav,I145.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cabello.wav,I053.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,luna.wav,I055.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,caracol.wav,I140.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,vela.wav,I220.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,tomate.wav,I236.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,carro.wav,I070.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pina.wav,I173.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,montana.wav,I032.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,serpiente.wav,I121.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pescado.wav,I172.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,caballo.wav,I100.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,reloj.wav,I115.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pelota.wav,I007.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,mesa.wav,I226.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,silla.wav,I047.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,limon.wav,I135.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,tigre.wav,I182.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,dedo.wav,I088.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,zanahoria.wav,I222.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,globo.wav,I111.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cebra.wav,I089.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,flor.wav,I091.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,botella.wav,I030.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,nariz.wav,I155.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,zapato.wav,I204.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,guitarra.wav,I111.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,manzana.wav,I006.png,ArrowRight
