Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,cuchillo.wav,I130.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,autobus.wav,I039.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pan.wav,I067.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,fresa.wav,I217.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,lentes.wav,I132.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,muneco.wav,I074.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cinturon.wav,I026.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pato.wav,I209.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pantalon.wav,I146.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cerdo.wav,I233.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,llave.wav,I015.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,tortuga.wav,I212.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,mano.wav,I113.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,avion.wav,I002.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,sol.wav,I105.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,arana.wav,I081.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cocodrilo.wav,I003.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,corazon.wav,I044.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cuchara.wav,I119.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,puerta.wav,I076.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cama.wav,I215.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,campana.wav,I025.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,vaso.wav,I042.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,casa.wav,I122.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,oso.wav,I021.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pierna.wav,I134.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,ojo.wav,I086.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,rana.wav,I244.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pera.wav,I166.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,gato.wav,I049.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pie.wav,I94.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,vaca.wav,I182.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,arbol.wav,I241.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pajaro.wav,I025.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,sillon.wav,I241.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pastel.wav,I040.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,payaso.wav,I063.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,escoba.wav,I037.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,lampara.wav,I014.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,brazo.wav,I243.png,ArrowLeft
