Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,cerdo.wav,I182.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,dedo.wav,I088.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,corazon.wav,I132.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,arana.wav,I055.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,puerta.wav,I115.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,muneco.wav,I074.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,paraguas.wav,I245.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pina.wav,I120.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,raton.wav,I081.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,limon.wav,I135.png,ArrowRight
