Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,pig.wav,I040.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,finger.wav,I088.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,heart.wav,I132.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,spider.wav,I055.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,door.wav,I115.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,doll.wav,I074.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,umbrella.wav,I245.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pineapple.wav,I120.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,mouse.wav,I081.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,lemon.wav,I135.png,ArrowRight
